Electricity access,electrification - total population: 43% (2019),electrification - urban areas: 61% (2019),electrification - rural areas: 6% (2019)
Electricity,installed generating capacity: 7.344 million kW (2020 est.),consumption: 11.815 billion kWh (2019 est.),exports: 0 kWh (2019 est.),imports: 0 kWh (2019 est.),transmission/distribution losses: 1.741 billion kWh (2019 est.)
Electricity generation sources,fossil fuels: 28.4% of total installed capacity (2020 est.),nuclear: 0% of total installed capacity (2020 est.),solar: 0.1% of total installed capacity (2020 est.),wind: 0% of total installed capacity (2020 est.),hydroelectricity: 70.1% of total installed capacity (2020 est.),tide and wave: 0% of total installed capacity (2020 est.),geothermal: 0% of total installed capacity (2020 est.),biomass and waste: 1.4% of total installed capacity (2020 est.)
Coal,production: 0 metric tons (2020 est.),consumption: 0 metric tons (2020 est.),exports: 0 metric tons (2020 est.),imports: 0 metric tons (2020 est.),proven reserves: 0 metric tons (2019 est.)
Petroleum,"total petroleum production: 1,197,600 bbl/day (2021 est.)","refined petroleum consumption: 133,400 bbl/day (2019 est.)","crude oil and lease condensate exports: 1,367,400 bbl/day (2018 est.)",crude oil and lease condensate imports: 0 bbl/day (2018 est.),crude oil estimated reserves: 7.783 billion barrels (2021 est.)
Refined petroleum products - production,"53,480 bbl/day (2015 est.)"
Refined petroleum products - exports,"30,340 bbl/day (2015 est.)"
Refined petroleum products - imports,"111,600 bbl/day (2015 est.)"
Natural gas,"production: 6,767,715,000 cubic meters (2019 est.)",consumption: 860.887 million cubic meters (2019 est.),"exports: 5,877,945,000 cubic meters (2019 est.)",imports: 0 cubic meters (2021 est.),proven reserves: 343.001 billion cubic meters (2021 est.)
Carbon dioxide emissions,19.362 million metric tonnes of CO2 (2019 est.),from coal and metallurgical coke: 0 metric tonnes of CO2 (2019 est.),from petroleum and other liquids: 17.673 million metric tonnes of CO2 (2019 est.),from consumed natural gas: 1.689 million metric tonnes of CO2 (2019 est.)
Energy consumption per capita,11.693 million Btu/person (2019 est.)
